spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,rms_mean,rms_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,tempo,contrast_1_mean,contrast_1_std,contrast_2_mean,contrast_2_std,contrast_3_mean,contrast_3_std,contrast_4_mean,contrast_4_std,contrast_5_mean,contrast_5_std,contrast_6_mean,contrast_6_std,contrast_7_mean,contrast_7_std,genre
1784.416545970319,360.1941660724689,3806.4186497738488,949.3838319123846,2002.6571063943209,292.96645874446284,0.08306639113293343,0.02768996741355138,0.130192,0.053201236,-113.619385,50.703182,121.55302,17.19664,-19.151056,15.34861,42.345768,12.281505,-6.3711677,12.962431,18.613033,9.442965,-13.69206,8.222213,15.339379,8.310419,-12.283617,9.063802,10.973775,7.9624414,-8.32241,7.8619676,8.8067875,7.1618433,-3.665802,6.4227433,0.36172682,0.32664314,0.3676192,0.28599313,0.43998018,0.31635022,0.24463451,0.21137717,0.2478018,0.25634527,0.33561513,0.28911784,0.36457565,0.27731726,0.435647,0.34625813,0.29584128,0.2538041,0.3146339,0.28025305,0.40656048,0.33270243,0.38477013,0.29256114,[123.046875],15.987602688701612,4.337260085373168,15.102477692088824,4.193739002914364,18.458409057377718,4.620147990851737,18.363125053822007,3.628890845553065,18.9187388027038,3.4867951085886966,17.190236092452114,2.52157734881694,39.66757667158581,3.0321668651646663,blues
1529.8713140945188,613.1978884116917,3548.9868730952494,1725.3383493061522,2038.6121427572907,462.4822959687798,0.056044256724071206,0.03805920843998772,0.095891684,0.04872404,-207.58151,88.151985,123.99715,23.667763,8.939115,23.931154,35.870758,16.274376,2.9199705,16.73462,21.518787,12.508815,-8.555368,14.176376,23.355938,11.931994,-10.101037,12.893104,11.906445,10.215605,-5.5581226,10.25786,5.375942,9.813216,-2.2378328,8.0561075,0.45962265,0.37744123,0.34987718,0.29691663,0.32096848,0.30838904,0.21158579,0.22881292,0.20090811,0.20903191,0.33100522,0.31096005,0.39764687,0.2824696,0.5606766,0.36677268,0.38437906,0.2953209,0.25547394,0.23321548,0.28495893,0.27905735,0.3342382,0.26922676,[67.99958882],15.984914561002014,4.19506584131911,17.0562328248644,4.609618338433343,19.129323982388623,4.812806759710788,19.18787122800779,4.284377419888848,18.324038624421977,3.5080012129674136,17.50447952941415,3.1317140336285334,37.51898531757912,5.817206761418137,blues
1552.6377863181906,395.64920650086106,3041.0899442784926,884.8426541198174,1747.3820283016646,275.95414242794845,0.07630074799245357,0.031737819011002394,0.17549369,0.052465174,-90.776344,57.61765,140.44861,22.563513,-29.10056,20.297462,31.68734,12.006151,-13.975973,12.490621,25.741686,8.629561,-13.644712,10.328758,11.623112,10.32607,-11.775921,8.104654,9.700466,8.236836,-13.115349,7.592525,5.7857637,8.037509,-8.899733,7.776661,0.2726714,0.21136564,0.1958688,0.18095642,0.3152544,0.27161023,0.40813464,0.2713322,0.54708266,0.3501949,0.32177523,0.23583087,0.30478677,0.24187987,0.28851712,0.2514624,0.33424178,0.24735013,0.40191102,0.33322743,0.38430834,0.25157735,0.58818996,0.35295072,[161.49902344],26.33225553065585,5.500512786201385,14.191932556756637,3.965928761550222,17.706643575580642,5.001119005666392,19.417249535025636,4.188353359876049,20.344435037793545,3.7845760150956185,18.314964839749916,2.922924935809187,39.035077300462454,3.26898443147924,blues
1070.1100585189856,429.54237913885146,2185.0617872303114,1222.3723095329324,1596.244204184935,408.2126509040693,0.03330894446594427,0.02056877198727728,0.14113921,0.079623215,-199.462,74.13483,150.09474,21.36742,5.649167,16.032692,26.870144,12.57767,1.7554405,16.367716,14.23688,11.264206,-4.8288727,12.492485,9.297849,9.009487,-0.7531419,9.610511,8.147393,8.439375,-3.1952357,10.503592,6.085354,6.941436,-2.4761882,7.537466,0.3408617,0.24969354,0.4085767,0.23725858,0.52456856,0.3261879,0.5470746,0.30357862,0.6571129,0.3451296,0.51167065,0.30346847,0.3556307,0.23173134,0.25169033,0.19945031,0.24638642,0.2151235,0.31520894,0.29383773,0.31654343,0.2810903,0.38285506,0.337159,[63.02400915],29.797804247563928,5.058715626971135,14.765636719360783,4.0626430579911466,17.239783565071527,4.224040399538287,18.63621706926385,3.315072377828343,18.49075823426367,3.3282744483136604,16.790485158755587,2.3018822913310313,34.27801571154383,4.630241827631059,blues
1835.5070084014953,585.947298852198,3581.003346162684,1253.8472082559008,1748.3674767249406,297.42236166042295,0.1015001421004257,0.044198516021300496,0.0915404,0.04801099,-160.29185,72.09816,126.19576,29.218794,-35.6025,18.267778,22.151167,13.916656,-32.48764,18.342604,10.862023,11.6102,-23.357162,9.659235,0.50052327,11.169668,-11.80477,11.401259,1.2038777,9.989756,-13.085074,8.961199,-2.8098488,9.300109,-6.935621,9.46644,0.19272676,0.1953112,0.31723183,0.3219268,0.39155164,0.3117782,0.25590557,0.27461556,0.19280408,0.17918442,0.53058153,0.36230913,0.2539424,0.20737118,0.13921534,0.17713632,0.27655503,0.30349156,0.32433617,0.23367873,0.5552977,0.35592434,0.27303,0.21847454,[135.99917763],17.057412884710494,4.3338301895346225,15.693513459090605,3.9833318364191737,19.12555886683112,4.101753179922272,20.526383065422213,4.327283695634332,20.785517461022902,4.070889182680325,19.713926518666607,3.7084595876612574,37.33880412136976,5.124856741019106,blues
1831.9900685948733,1015.5272536119529,3480.8539517523704,1810.097358189528,1729.4562589469772,449.44388769480264,0.09403986975135449,0.07897575479333778,0.10343772,0.063116826,-177.88876,85.460556,118.18953,56.54741,-17.550728,25.576311,30.753101,22.045116,-21.732107,20.820208,11.898545,16.31228,-20.73228,13.032559,3.176169,11.562216,-8.57577,13.127508,-0.9401844,10.00648,-11.773799,8.751917,-2.426076,8.860253,-9.342486,8.951683,0.2383077,0.28926638,0.30017725,0.21441959,0.6168902,0.38305315,0.23552333,0.16447712,0.123921245,0.13731828,0.24363415,0.27671814,0.2795118,0.2569075,0.41132167,0.33651072,0.2439938,0.23532,0.28561246,0.28160524,0.2841993,0.28473642,0.36587507,0.3060231,[69.83741554],17.47173427154148,4.7971869821367115,19.563742281296186,5.360576762684041,21.294820438166678,5.525215620330538,21.350197303286826,4.8564597016943285,20.782888052062248,4.096973695290261,19.40352798039331,3.433211881336033,37.94590337195688,6.781264396063234,blues
1459.0353761872718,661.9048512246574,2795.67476160386,1273.8488337810736,1388.725515468785,430.2696982143311,0.07302790308146284,0.0436989109483751,0.1416879,0.09371678,-190.17502,98.21622,130.29242,43.98217,-36.348473,36.161358,33.02909,21.916225,11.085681,32.917904,-0.5963725,16.739882,-20.882357,12.31618,0.27711603,10.143775,-6.5008707,11.45195,-5.515623,12.389087,-7.8452897,9.358328,-3.123599,8.014027,-6.595716,8.897414,0.42547852,0.3658969,0.2233068,0.24735779,0.13130385,0.18757597,0.1526468,0.2186216,0.24185747,0.21688434,0.49107304,0.38536504,0.24560349,0.24426968,0.16917838,0.19363724,0.28823328,0.2962565,0.46142796,0.35306236,0.35944885,0.33306643,0.3073089,0.27067363,[71.77734375],24.761686388889366,6.742294172147131,21.07530470251667,5.802381017647836,22.20890664723946,5.842328021486336,21.261253966206972,4.878513716229456,21.647741736833122,4.354109386342867,20.145598260935973,3.5912598677005616,32.880478388843535,7.826707893492796,blues
1451.8494584581751,670.7739279240661,2955.7654602239745,1276.9357186257082,1577.5518583197488,410.192949810905,0.06143500266060371,0.043011742599829005,0.13174523,0.07439894,-179.42007,81.08917,136.4421,38.470413,-26.644339,24.310026,39.97959,18.792528,5.3018146,25.503872,10.921237,11.677463,-20.555347,12.794587,8.507477,12.307668,-11.35436,13.115827,-3.469098,13.357224,-8.414114,12.151825,-6.956976,9.153007,-3.5483484,9.660816,0.25941798,0.2500144,0.26425827,0.29886904,0.32542002,0.3064861,0.21780159,0.26724982,0.21512048,0.2556634,0.2952168,0.28941742,0.1900441,0.21454507,0.18086508,0.23968148,0.2643502,0.28059137,0.39014107,0.26955867,0.6485513,0.35088304,0.4365872,0.27776238,[92.28515625],20.215365526323623,4.549315355447794,20.094576698389947,4.595736689589528,20.711897948475954,5.0024481673154755,19.629865396658026,4.574939151900662,20.705410723231054,4.0482760223539955,19.60440192458332,3.27097037715534,36.12081799513814,5.7213456710346735,blues
1719.2739373344168,404.2148603391187,3781.5188003398316,1123.830736936971,2031.6873439502422,324.9818521856879,0.06402757957623839,0.02705344827055859,0.14236063,0.038767237,-121.387115,51.20196,122.505394,20.3649,-14.739394,18.476788,46.135292,13.921793,-8.160384,13.293729,20.17051,10.343644,-19.169321,7.594192,23.050188,8.770052,-11.82594,6.5177164,21.17341,7.644031,-6.7202907,6.9971523,7.0050187,7.4997573,-12.739909,7.8674307,0.31952116,0.2300009,0.304665,0.23193873,0.36683202,0.28907913,0.42233863,0.27489433,0.52400357,0.3511743,0.4506939,0.2997082,0.49352214,0.32791713,0.35298562,0.25686693,0.38034257,0.26486635,0.46188298,0.30731362,0.36648244,0.26225567,0.46470785,0.3126511,[83.35433468],29.493772582869763,5.139993255814101,15.129731925950475,4.042383630912123,17.020851583382814,4.475361945279368,17.03142049834697,3.433209073751889,19.69371660973148,3.794156519997003,17.621792078515444,2.511162652269766,40.62273896813749,2.618564098698556,blues
1817.5295464146707,546.1286759179139,3944.584480970637,1169.2472363386128,1973.6903092151892,337.9483596955139,0.0792153184258901,0.03710199195397739,0.08132098,0.06593492,-213.20453,78.31431,115.15454,28.262224,-11.720504,25.864157,39.032555,18.730318,-20.357819,23.071655,13.089926,16.684895,-9.180815,11.249238,9.023639,8.2433195,-14.101023,10.496001,4.283337,9.617187,-6.044196,9.212237,3.786368,10.222245,0.22368738,8.740899,0.24841247,0.29593915,0.27330655,0.29286334,0.48874417,0.39122513,0.26811442,0.24320692,0.17957145,0.21092144,0.2677974,0.3284345,0.22273743,0.21774371,0.41564548,0.38119698,0.27288076,0.2647414,0.18116425,0.2172108,0.22930479,0.3061906,0.24049188,0.2758073,[80.74951172],14.330905860745972,4.061189273373044,17.63960709820347,4.579655253800847,21.926797282717327,4.858521660828668,20.2309716071656,4.012663452568003,18.564728908036567,3.61372315909316,18.909647349158625,4.1573191147110355,36.50457567144057,5.2964248994635765,blues
